DateTime,kW
01/01/2021 00.15,0
01/01/2021 00.30,0
01/01/2021 00.45,0
01/01/2021 01.00,0
01/01/2021 01.15,0
01/01/2021 01.30,0
01/01/2021 01.45,0
01/01/2021 02.00,0
01/01/2021 02.15,0
01/01/2021 02.30,0
01/01/2021 02.45,0
01/01/2021 03.00,0
01/01/2021 03.15,0
01/01/2021 03.30,0
01/01/2021 03.45,0
01/01/2021 04.00,0
01/01/2021 04.15,0
01/01/2021 04.30,0
01/01/2021 04.45,0
01/01/2021 05.00,0
01/01/2021 05.15,0
01/01/2021 05.30,0
01/01/2021 05.45,0
01/01/2021 06.00,0
01/01/2021 06.15,0
01/01/2021 06.30,0
01/01/2021 06.45,0
01/01/2021 07.00,72
01/01/2021 07.15,180
01/01/2021 07.30,336
01/01/2021 07.45,1140
01/01/2021 08.00,1728
01/01/2021 08.15,2172
01/01/2021 08.30,2604
01/01/2021 08.45,3024
01/01/2021 09.00,3396
01/01/2021 09.15,3696
01/01/2021 09.30,4008
01/01/2021 09.45,4284
01/01/2021 10.00,4548
01/01/2021 10.15,4752
01/01/2021 10.30,4932
01/01/2021 10.45,5100
01/01/2021 11.00,5184
01/01/2021 11.15,5244
01/01/2021 11.30,5328
01/01/2021 11.45,5436
01/01/2021 12.00,5448
01/01/2021 12.15,5424
01/01/2021 12.30,5352
01/01/2021 12.45,5352
01/01/2021 13.00,5268
01/01/2021 13.15,5256
01/01/2021 13.30,5124
01/01/2021 13.45,4992
01/01/2021 14.00,4788
01/01/2021 14.15,4632
01/01/2021 14.30,4380
01/01/2021 14.45,4128
01/01/2021 15.00,3876
01/01/2021 15.15,3552
01/01/2021 15.30,3264
01/01/2021 15.45,2904
01/01/2021 16.00,2472
01/01/2021 16.15,2124
01/01/2021 16.30,1680
01/01/2021 16.45,1056
01/01/2021 17.00,768
01/01/2021 17.15,348
01/01/2021 17.30,120
01/01/2021 17.45,24
01/01/2021 18.00,0
01/01/2021 18.15,0
01/01/2021 18.30,0
01/01/2021 18.45,0
01/01/2021 19.00,0
01/01/2021 19.15,0
01/01/2021 19.30,0
01/01/2021 19.45,0
01/01/2021 20.00,0
01/01/2021 20.15,0
01/01/2021 20.30,0
01/01/2021 20.45,0
01/01/2021 21.00,0
01/01/2021 21.15,0
01/01/2021 21.30,0
01/01/2021 21.45,0
01/01/2021 22.00,0
01/01/2021 22.15,0
01/01/2021 22.30,0
01/01/2021 22.45,0
01/01/2021 23.00,0
01/01/2021 23.15,0
01/01/2021 23.30,0
01/01/2021 23.45,0
01/01/2021 24.00,0
02/01/2021 00.15,0
02/01/2021 00.30,0
02/01/2021 00.45,0
02/01/2021 01.00,0
02/01/2021 01.15,0
02/01/2021 01.30,0
02/01/2021 01.45,0
02/01/2021 02.00,0
02/01/2021 02.15,0
02/01/2021 02.30,0
02/01/2021 02.45,0
02/01/2021 03.00,0
02/01/2021 03.15,0
02/01/2021 03.30,0
02/01/2021 03.45,0
02/01/2021 04.00,0
02/01/2021 04.15,0
02/01/2021 04.30,0
02/01/2021 04.45,0
02/01/2021 05.00,0
02/01/2021 05.15,0
02/01/2021 05.30,0
02/01/2021 05.45,0
02/01/2021 06.00,0
02/01/2021 06.15,0
02/01/2021 06.30,0
02/01/2021 06.45,0
02/01/2021 07.00,72
02/01/2021 07.15,180
02/01/2021 07.30,336
02/01/2021 07.45,1104
02/01/2021 08.00,1668
02/01/2021 08.15,2112
02/01/2021 08.30,2520
02/01/2021 08.45,2940
02/01/2021 09.00,3288
02/01/2021 09.15,3612
02/01/2021 09.30,3924
02/01/2021 09.45,4176
02/01/2021 10.00,4416
02/01/2021 10.15,4632
02/01/2021 10.30,4800
02/01/2021 10.45,4956
02/01/2021 11.00,5064
02/01/2021 11.15,5160
02/01/2021 11.30,5232
02/01/2021 11.45,5280
02/01/2021 12.00,5316
02/01/2021 12.15,5316
02/01/2021 12.30,5208
02/01/2021 12.45,5196
02/01/2021 13.00,5172
02/01/2021 13.15,5136
02/01/2021 13.30,4992
02/01/2021 13.45,4848
02/01/2021 14.00,4752
02/01/2021 14.15,4572
02/01/2021 14.30,4296
02/01/2021 14.45,3984
02/01/2021 15.00,2916
02/01/2021 15.15,2652
02/01/2021 15.30,2148
02/01/2021 15.45,1716
02/01/2021 16.00,1308
02/01/2021 16.15,936
02/01/2021 16.30,804
02/01/2021 16.45,1584
02/01/2021 17.00,1092
02/01/2021 17.15,528
02/01/2021 17.30,240
02/01/2021 17.45,84
02/01/2021 18.00,0
02/01/2021 18.15,0
02/01/2021 18.30,0
02/01/2021 18.45,0
02/01/2021 19.00,0
02/01/2021 19.15,0
02/01/2021 19.30,0
02/01/2021 19.45,0
02/01/2021 20.00,0
02/01/2021 20.15,0
02/01/2021 20.30,0
02/01/2021 20.45,0
02/01/2021 21.00,0
02/01/2021 21.15,0
02/01/2021 21.30,0
02/01/2021 21.45,0
02/01/2021 22.00,0
02/01/2021 22.15,0
02/01/2021 22.30,0
02/01/2021 22.45,0
02/01/2021 23.00,0
02/01/2021 23.15,0
02/01/2021 23.30,0
02/01/2021 23.45,0
02/01/2021 24.00,0
03/01/2021 00.15,0
03/01/2021 00.30,0
03/01/2021 00.45,0
03/01/2021 01.00,0
03/01/2021 01.15,0
03/01/2021 01.30,0
03/01/2021 01.45,0
03/01/2021 02.00,0
03/01/2021 02.15,0
03/01/2021 02.30,0
03/01/2021 02.45,0
03/01/2021 03.00,0
03/01/2021 03.15,0
03/01/2021 03.30,0
03/01/2021 03.45,0
03/01/2021 04.00,0
03/01/2021 04.15,0
03/01/2021 04.30,0
03/01/2021 04.45,0
03/01/2021 05.00,0
03/01/2021 05.15,0
03/01/2021 05.30,0
03/01/2021 05.45,0
03/01/2021 06.00,0
03/01/2021 06.15,0
03/01/2021 06.30,0
03/01/2021 06.45,0
03/01/2021 07.00,60
03/01/2021 07.15,168
03/01/2021 07.30,312
03/01/2021 07.45,1068
03/01/2021 08.00,1644
03/01/2021 08.15,2040
03/01/2021 08.30,2436
03/01/2021 08.45,2796
03/01/2021 09.00,3180
03/01/2021 09.15,3540
03/01/2021 09.30,3828
03/01/2021 09.45,4080
03/01/2021 10.00,4320
03/01/2021 10.15,4524
03/01/2021 10.30,4716
03/01/2021 10.45,4848
03/01/2021 11.00,4920
03/01/2021 11.15,5028
03/01/2021 11.30,5160
03/01/2021 11.45,5196
03/01/2021 12.00,5232
03/01/2021 12.15,5280
03/01/2021 12.30,5208
03/01/2021 12.45,5184
03/01/2021 13.00,5112
03/01/2021 13.15,5028
03/01/2021 13.30,4920
03/01/2021 13.45,4752
03/01/2021 14.00,4632
03/01/2021 14.15,4440
03/01/2021 14.30,4248
03/01/2021 14.45,3984
03/01/2021 15.00,3708
03/01/2021 15.15,3456
03/01/2021 15.30,3120
03/01/2021 15.45,2772
03/01/2021 16.00,2412
03/01/2021 16.15,2064
03/01/2021 16.30,1692
03/01/2021 16.45,1188
03/01/2021 17.00,792
03/01/2021 17.15,408
03/01/2021 17.30,156
03/01/2021 17.45,48
03/01/2021 18.00,0
03/01/2021 18.15,0
03/01/2021 18.30,0
03/01/2021 18.45,0
03/01/2021 19.00,0
03/01/2021 19.15,0
03/01/2021 19.30,0
03/01/2021 19.45,0
03/01/2021 20.00,0
03/01/2021 20.15,0
03/01/2021 20.30,0
03/01/2021 20.45,0
03/01/2021 21.00,0
03/01/2021 21.15,0
03/01/2021 21.30,0
03/01/2021 21.45,0
03/01/2021 22.00,0
03/01/2021 22.15,0
03/01/2021 22.30,0
03/01/2021 22.45,0
03/01/2021 23.00,0
03/01/2021 23.15,0
03/01/2021 23.30,0
